月份,行业类别,市场规模_亿元,增长率_%,竞争指数,消费者信心指数
2025-01,电子消费,1520,8.5,75,82
2025-01,服装零售,980,5.2,68,78
2025-01,食品饮料,1340,6.8,72,85
2025-01,家居装饰,760,7.1,65,80
2025-02,电子消费,1580,9.2,76,84
2025-02,服装零售,1020,6.1,69,79
2025-02,食品饮料,1390,7.4,73,86
2025-02,家居装饰,790,8.2,66,81
2025-03,电子消费,1650,10.1,78,86
2025-03,服装零售,1070,7.3,71,81
2025-03,食品饮料,1450,8.2,75,88
2025-03,家居装饰,830,9.1,68,83
2025-04,电子消费,1620,9.5,77,85
2025-04,服装零售,1050,6.8,70,80
2025-04,食品饮料,1420,7.8,74,87
2025-04,家居装饰,810,8.5,67,82
2025-05,电子消费,1680,10.5,79,87
2025-05,服装零售,1090,7.6,72,82
2025-05,食品饮料,1480,8.7,76,89
2025-05,家居装饰,850,9.8,69,84
2025-06,电子消费,1730,11.2,80,88
2025-06,服装零售,1120,8.2,73,83
2025-06,食品饮料,1530,9.3,77,90
2025-06,家居装饰,880,10.5,70,85
